area_id,area_name,room_id,room_name,date,time,status,detail
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,15:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,15:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,16:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,16:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,17:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,17:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,18:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,18:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,19:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,19:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,20:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,20:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,21:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,21:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,22:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,22:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,23:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,126,Lab. SIMAN (R. Peneletian/Insprirasi) - Smart Projector,2025-12-01,23:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,07:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,07:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,08:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,08:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,09:00,booked,Perancangan Fas...
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,09:30,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,10:00,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,10:30,booked,Perancangan Fas...
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,11:00,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,11:30,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,12:00,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,12:30,booked,Menggambar Tekn...
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,13:00,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,13:30,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,14:00,booked,
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,14:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,15:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,15:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,16:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,16:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,17:00,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,17:30,available,Tersedia
10,Gedung Lab FTI Lt Basement,123,Lab. SIMAN (R.CAD/CAM) - Projector,2025-12-01,18:00,available,Tersedia
